Photo;Date and Time;Exp. Time;F/Stop;Exp. Program;Exp. Bias;Metering Mode;Light Source;Flash;Focal Length;Focal Length (35 mm);ISO Speed;Orientation;Dimensions;File Size;Path;Tags
IMG_0058;02/05/2018  12:21:54;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;630 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0058.JPG;placeID: 111
IMG_0059;02/05/2018  12:21:55;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;637 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0059.JPG;placeID: 111
IMG_0060;02/05/2018  12:21:57;1/30;-;-;-;-;-;Not fired, auto mode;-;-;640;-;2048 x 1536;499 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0060.JPG;placeID: 111
IMG_0061;02/05/2018  12:21:59;1/120;-;-;-;-;-;Flash fired, auto mode;-;-;80;-;2048 x 1536;189 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0061.JPG;placeID: 111
IMG_0062;02/05/2018  12:22:01;1/86;-;-;-;-;-;Flash fired, auto mode;-;-;100;-;2048 x 1536;321 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0062.JPG;placeID: 111
IMG_0063;02/05/2018  12:22:02;1/102;-;-;-;-;-;Flash fired, auto mode;-;-;100;-;2048 x 1536;328 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0063.JPG;placeID: 111
IMG_0064;02/05/2018  12:22:03;1/102;-;-;-;-;-;Flash fired, auto mode;-;-;100;-;2048 x 1536;340 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0064.JPG;placeID: 111
IMG_0065;02/05/2018  12:22:04;1/102;-;-;-;-;-;Flash fired, auto mode;-;-;100;-;2048 x 1536;335 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0065.JPG;placeID: 111
IMG_0066;02/05/2018  12:22:05;1/102;-;-;-;-;-;Flash fired, auto mode;-;-;100;-;2048 x 1536;288 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0066.JPG;placeID: 111
IMG_0067;02/05/2018  12:22:06;1/102;-;-;-;-;-;Flash fired, auto mode;-;-;100;-;2048 x 1536;345 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0067.JPG;placeID: 111
