Photo;Date and Time;Exp. Time;F/Stop;Exp. Program;Exp. Bias;Metering Mode;Light Source;Flash;Focal Length;Focal Length (35 mm);ISO Speed;Orientation;Dimensions;File Size;Path;Tags
IMG_0053;03/05/2018  17:16:23;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;384 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0053.JPG;placeID: 82
IMG_0054;03/05/2018  17:16:24;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;374 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0054.JPG;placeID: 82
IMG_0056;03/05/2018  17:16:25;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;385 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0056.JPG;placeID: 82
IMG_0055;03/05/2018  17:16:25;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;372 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0055.JPG;placeID: 82
IMG_0058;03/05/2018  17:16:26;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;362 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0058.JPG;placeID: 82
IMG_0057;03/05/2018  17:16:26;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;374 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0057.JPG;placeID: 82
IMG_0059;03/05/2018  17:16:27;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;360 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0059.JPG;placeID: 82
IMG_0060;03/05/2018  17:16:28;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;352 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0060.JPG;placeID: 82
IMG_0061;03/05/2018  17:16:30;1/152;-;-;-;-;-;Flash fired, auto mode;-;-;50;-;2048 x 1536;129 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0061.JPG;placeID: 82
IMG_0063;03/05/2018  17:16:32;1/169;-;-;-;-;-;Flash fired, auto mode;-;-;50;-;2048 x 1536;194 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0063.JPG;placeID: 82
IMG_0062;03/05/2018  17:16:32;1/152;-;-;-;-;-;Flash fired, auto mode;-;-;50;-;2048 x 1536;130 KB;D:\Hampstead Heath Survey photos\81_100\82_HH_23_5_18\100RECNX\IMG_0062.JPG;placeID: 82
